id,language,gender,isClevel,Extraversion,EX_Leading,EX_Communion,EX_Persuasive,EX_Motivating
34787,NL,Female,No,8,8,7,8,9
2715,FR,Male,No,4,5,4,4,4
33503,NL,Male,No,5,6,3,5,5
23258,NL,Male,No,5,6,3,4,5
27671,NL,Male,No,4,5,4,3,6
4185,FR,Male,No,9,9,9,8,8
33041,NL,Male,No,3,3,3,3,4
43431,NL,Female,No,4,3,6,3,4
7766,NL,Male,No,5,7,1,5,5
22899,NL,Male,No,4,3,6,5,3
42115,ENG,Female,No,3,4,2,4,2
9003,NL,Male,No,1,1,1,4,2
22546,NL,Male,No,5,6,4,5,5
40690,NL,Female,No,3,2,3,3,5
16899,ENG,Male,No,5,6,6,6,4
4316,NL,Male,No,9,9,9,9,8
17819,FR,Male,No,5,6,5,5,4
42910,NL,Female,No,6,5,6,6,7
36610,NL,Female,No,5,6,4,5,6
38122,NL,Female,No,7,7,4,6,8
19260,NL,Male,No,5,3,4,4,8
26545,NL,Male,No,4,3,4,4,5
27765,FR,Male,No,1,3,1,3,1
31400,FR,Male,No,6,5,8,4,8
49234,NL,Female,No,2,2,3,3,2
33963,FR,Male,No,2,1,2,4,6
41336,ENG,Female,No,3,2,1,4,4
405,ENG,Male,No,8,7,8,7,8
12446,NL,Male,No,7,7,7,5,6
8555,NL,Male,No,4,6,3,3,5
29550,ENG,Male,No,7,6,7,9,7
17445,NL,Male,No,6,6,5,5,6
44907,NL,Female,No,6,6,7,6,5
35446,NL,Female,No,9,8,8,9,9
27303,NL,Male,No,4,4,4,3,4
48584,NL,Female,No,5,5,6,4,6
22043,NL,Male,No,4,3,3,6,4
40413,NL,Female,No,5,4,5,5,5
16301,NL,Male,No,7,6,7,7,8
4974,NL,Male,No,7,7,7,7,7
15197,ENG,Male,No,8,7,9,7,7
6761,NL,Male,No,8,8,8,7,7
16938,FR,Male,No,8,7,6,8,8
7377,NL,Male,No,5,8,5,4,3
46992,NL,Female,No,1,1,2,2,3
19724,FR,Male,No,5,5,5,5,4
49171,NL,Female,No,3,5,2,3,4
46459,NL,Female,No,1,2,1,2,2
34444,FR,Male,No,3,6,1,3,4
3864,NL,Male,No,7,7,7,7,5
41398,NL,Female,No,4,5,4,3,5
22343,FR,Male,No,5,5,4,4,8
47514,NL,Female,No,6,6,4,6,7
44177,NL,Female,No,4,5,3,5,4
10996,NL,Male,No,7,8,6,4,6
8943,NL,Male,No,7,8,4,7,7
19969,ENG,Male,No,2,2,6,2,1
25910,NL,Male,No,5,6,6,4,5
11699,FR,Male,No,8,7,7,7,7
288,NL,Male,No,9,8,8,9,9
29466,FR,Male,No,9,7,9,8,7
24767,NL,Male,No,2,4,1,3,2
33432,NL,Male,No,1,1,2,4,1
8293,NL,Male,No,8,7,7,8,9
45954,FR,Female,No,3,3,6,3,3
14654,NL,Male,No,3,6,3,2,2
19465,FR,Male,No,5,5,5,6,6
43957,NL,Female,No,3,4,3,3,2
23443,ENG,Male,No,3,4,3,4,1
16231,NL,Male,No,5,3,4,7,5
51304,FR,Female,No,2,4,1,1,5
41815,ENG,Female,No,5,6,2,5,5
50862,NL,Female,No,2,2,6,2,2
4832,NL,Male,No,8,9,5,8,8
29202,NL,Male,No,6,6,5,6,5
35163,NL,Female,No,8,8,6,8,9
16090,ENG,Male,No,5,4,5,5,6
50167,NL,Female,No,2,3,4,3,1
23945,FR,Male,No,5,5,5,4,5
30379,NL,Male,No,4,3,4,3,4
35820,NL,Female,No,7,7,8,6,5
51020,NL,Female,No,1,2,4,1,1
37649,NL,Female,No,6,6,4,7,7
1763,NL,Male,No,9,9,9,7,9
8357,ENG,Male,No,8,7,9,7,6
28205,NL,Male,No,4,4,4,5,4
10351,NL,Male,No,5,5,4,6,5
44645,NL,Female,No,5,6,4,6,4
30617,ENG,Male,No,4,4,5,3,5
14420,NL,Male,No,6,5,6,6,5
10732,ENG,Male,No,6,5,5,8,4
34237,FR,Male,No,4,2,1,9,4
22181,NL,Male,No,4,4,4,3,5
50745,NL,Female,No,4,4,6,3,3
12748,ENG,Male,No,7,6,7,6,8
4717,NL,Male,No,9,7,9,7,9
33029,FR,Male,No,6,7,5,5,5
3341,NL,Male,No,7,6,6,5,8
